time(ms);RPM(1/min);IAT2(°C);SHRTFT1(%);SHRTFT2(%);LOAD(%);ECT(°C)
2772;622;41;-3.91;-4.69;24.71;83
2783;622;41;-3.91;-4.69;24.71;83
2792;622;41;-3.91;-4.69;24.71;83
2801;621;41;-3.91;-4.69;24.71;83
2812;621;41;-3.91;-4.69;24.71;83
2821;621;41;-3.91;-4.69;24.71;83
2832;621;41;-3.91;-4.69;24.71;83
2842;620;41;-3.91;-4.69;24.71;83
2851;620;41;-3.91;-4.69;24.71;83
2862;619;41;-3.91;-4.69;24.71;83
2871;618;41;-3.91;-4.69;24.71;83
2882;617;41;-3.91;-4.69;24.71;83
2893;616;41;-3.91;-4.69;24.71;83
2902;615;41;-3.91;-4.69;24.71;83
2912;614;41;-3.91;-4.69;24.71;83
2921;614;41;-3.91;-4.69;24.71;83
2933;615;41;-3.91;-4.69;24.71;83
2943;615;41;-3.91;-4.69;24.71;83
2953;615;41;-3.91;-4.69;24.71;83
2961;616;41;-3.91;-4.69;24.71;83
2973;616;41;-3.91;-4.69;24.71;83
2985;617;41;-3.91;-4.69;24.71;83
3002;618;41;-3.91;-4.69;24.71;83
3012;619;41;-3.91;-4.69;24.71;83
3021;620;41;-3.91;-4.69;24.71;83
3032;621;41;-3.91;-4.69;24.71;83
3043;622;41;-3.91;-4.69;24.71;83
3052;622;41;-3.91;-4.69;24.71;83
3063;623;41;-3.91;-4.69;24.71;83
3072;623;41;-3.91;-4.69;24.71;83
3084;624;41;-3.91;-4.69;24.71;83
3093;625;41;-3.91;-4.69;24.71;83
3101;625;41;-3.91;-4.69;24.71;83
3113;625;41;-3.91;-4.69;24.71;83
3121;625;41;-3.91;-4.69;24.71;83
3131;624;41;-3.91;-4.69;24.71;83
3144;624;41;-3.91;-4.69;24.71;83
3153;624;41;-3.91;-4.69;24.71;83
3163;623;41;-3.91;-4.69;24.71;83
3172;623;41;-3.91;-4.69;24.71;83
3183;623;41;-3.91;-4.69;24.71;83
3193;622;41;-3.91;-4.69;24.71;83
3204;622;41;-3.91;-4.69;24.71;83
3212;621;41;-3.91;-4.69;24.71;83
3224;621;41;-3.91;-4.69;24.71;83
3233;621;41;-3.91;-4.69;24.71;83
3242;620;41;-3.91;-4.69;24.71;83
3252;620;41;-3.91;-4.69;24.71;83
3263;620;41;-3.91;-4.69;24.71;83
3272;619;41;-3.91;-4.69;24.71;83
3282;619;41;-3.91;-4.69;24.71;83
3293;619;41;-3.91;-4.69;24.71;83
3302;618;41;-3.91;-4.69;24.71;83
3313;618;41;-3.91;-4.69;24.71;83
3323;618;41;-3.91;-4.69;24.71;83
3331;617;41;-4.69;-4.69;24.71;83
3341;617;41;-4.69;-4.69;24.71;83
3352;616;41;-4.69;-4.69;24.71;83
3362;615;41;-4.69;-4.69;24.71;83
3371;614;41;-4.69;-4.69;24.71;83
3384;613;41;-4.69;-4.69;24.71;83
3393;612;41;-4.69;-4.69;24.71;83
3402;611;41;-4.69;-4.69;24.71;83
3413;612;41;-4.69;-4.69;24.71;83
3422;613;41;-4.69;-4.69;24.71;83
3433;614;41;-4.69;-4.69;24.71;83
3441;615;41;-4.69;-4.69;24.71;83
3451;616;41;-4.69;-4.69;24.71;83
3463;617;41;-4.69;-4.69;24.71;83
3473;617;41;-4.69;-4.69;24.71;83
3484;616;41;-4.69;-4.69;24.71;83
3492;616;41;-4.69;-4.69;24.71;83
3501;616;41;-4.69;-4.69;24.71;83
3513;616;41;-4.69;-4.69;24.71;83
3523;616;41;-4.69;-4.69;24.71;83
3533;616;41;-4.69;-4.69;25.10;83
3542;615;41;-4.69;-4.69;25.10;83
3551;614;41;-4.69;-4.69;25.10;83
3564;614;41;-4.69;-4.69;25.10;83
3573;613;41;-4.69;-4.69;25.10;83
3587;613;41;-4.69;-4.69;25.10;83
3604;613;41;-4.69;-4.69;25.10;83
3612;614;41;-4.69;-4.69;25.10;83
3621;614;41;-4.69;-4.69;25.10;83
3633;614;41;-4.69;-4.69;25.10;83
3642;615;41;-4.69;-4.69;25.10;83
3655;615;41;-4.69;-4.69;25.10;83
3673;615;41;-4.69;-4.69;25.10;83
3682;615;41;-4.69;-4.69;25.10;83
3692;615;41;-4.69;-4.69;25.10;83
3704;615;41;-4.69;-4.69;25.10;83
3712;615;41;-4.69;-4.69;25.10;83
3721;615;41;-4.69;-4.69;25.10;83
3734;615;41;-4.69;-4.69;25.10;83
